provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data-centre location (2025),site,"Fredericia, Denmark",DK,2025,withdrawal,88.8,million US gal,336144566.4192,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Fredericia, Denmark",DK,2025,discharge,17.0,million US gal,64352000.328,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Fredericia, Denmark",DK,2025,consumption,71.8,million US gal,271792566.0912,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google direct operations (data centres + offices),global,Google direct operations,,2024,consumption,8.1,billion US gal,30661835450.399998,approximate,Not GCP- or workload-specific; Secondary source (GWPC summary of Google speaker material); Corroborates the 2026 report's +34% 2024->2025 growth,google_operations_water_gwpc_2024,https://www.gwpc.org/wp-content/uploads/2024/10/Eric-Olsen.pdf,2024
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2020,withdrawal,5689,million US gal,21535207639.176,exact,Not GCP- or workload-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2020,discharge,1940,million US gal,7343698860.96,exact,Not GCP- or workload-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2020,consumption,3749,million US gal,14191508778.216,exact,Not GCP- or workload-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2021,withdrawal,6297,million US gal,23836738003.848,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2021,discharge,1735,million US gal,6567689445.24,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2021,consumption,4562,million US gal,17269048558.607998,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2022,withdrawal,7600,million US gal,28769129558.399998,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2022,discharge,2035,million US gal,7703312980.44,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2022,consumption,5565,million US gal,21065816577.96,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2023,withdrawal,8653,million US gal,32755168166.952,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2023,discharge,2301,million US gal,8710232514.984,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2023,consumption,6352,million US gal,24044935651.968,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2024,withdrawal,11011,million US gal,41681169153.624,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2024,discharge,2876,million US gal,10886844290.784,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres and offices,global,Google global operations (data centres + offices),,2024,consumption,8135,million US gal,30794324862.84,exact,Not GCP- or workload-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
