provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY20,discharge,2804.0,ML,2804000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY20,consumption,3990.0,ML,3990000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY20,consumption,3963.0,ML,3963000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, surface water source",global,Global corporate operations,,FY20,consumption,25.0,ML,25000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, ground water source",global,Global corporate operations,,FY20,consumption,2.0,ML,2000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY21,withdrawal,7747.0,ML,7747000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY21,withdrawal,7690.0,ML,7690000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, surface water source",global,Global corporate operations,,FY21,withdrawal,41.0,ML,41000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, ground water source",global,Global corporate operations,,FY21,withdrawal,16.0,ML,16000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,Microsoft corporate operations (global),global,Global corporate operations,,FY21,discharge,2953.0,ML,2953000000.0,exact,Not Azure-specific; not a product or workload factor,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
Microsoft,"Microsoft corporate operations, third-party water source",global,Global corporate operations,,FY21,discharge,2953.0,ML,2953000000.0,exact,Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf
